Nr1  Frec: 649 Word: de 
Nr2  Frec: 479 Word: les 
Nr3  Frec: 394 Word: vous 
Nr4  Frec: 324 Word: que 
Nr5  Frec: 296 Word: le 
Nr6  Frec: 296 Word: la 
Nr7  Frec: 271 Word: des 
Nr8  Frec: 256 Word: et 
Nr9  Frec: 254 Word: un 
Nr10  Frec: 242 Word: pour 
Nr11  Frec: 229 Word: une 
Nr12  Frec: 218 Word: pas 
Nr13  Frec: 202 Word: câ€™est 
Nr14  Frec: 182 Word: il 
Nr15  Frec: 179 Word: qui 
Nr16  Frec: 164 Word: en 
Nr17  Frec: 161 Word: a 
Nr18  Frec: 153 Word: on 
Nr19  Frec: 150 Word: est 
Nr20  Frec: 142 Word: ne 
Nr21  Frec: 135 Word: plus 
Nr22  Frec: 122 Word: ce 
Nr23  Frec: 119 Word: sont 
Nr24  Frec: 116 Word: dans 
Nr25  Frec: 108 Word: du 
Nr26  Frec: 105 Word: ? 
Nr27  Frec: 101 Word: je 
Nr28  Frec: 88 Word: avec 
Nr29  Frec: 85 Word: quand 
Nr30  Frec: 77 Word: y 
Nr31  Frec: 75 Word: faire 
Nr32  Frec: 74 Word: ont 
Nr33  Frec: 72 Word: si 
Nr34  Frec: 64 Word: langue 
Nr35  Frec: 64 Word: ! 
Nr36  Frec: 64 Word: quâ€™il 
Nr37  Frec: 62 Word: nous 
Nr38  Frec: 61 Word: ou 
Nr39  Frec: 61 Word: cette 
Nr40  Frec: 60 Word: ces 
Nr41  Frec: 60 Word: se 
Nr42  Frec: 59 Word: personnes 
Nr43  Frec: 59 Word: par 
Nr44  Frec: 58 Word: sur 
Nr45  Frec: 56 Word: comprendre 
Nr46  Frec: 54 Word: ils 
Nr47  Frec: 53 Word: veut 
Nr48  Frec: 52 Word: aussi 
Nr49  Frec: 52 Word: leur 
Nr50  Frec: 52 Word: votre 
Nr51  Frec: 51 Word: exemple, 
Nr52  Frec: 48 Word: peu 
Nr53  Frec: 48 Word: parler 
Nr54  Frec: 48 Word: dire 
Nr55  Frec: 47 Word: peut 
Nr56  Frec: 45 Word: comme 
Nr57  Frec: 42 Word: tous 
Nr58  Frec: 42 Word: parce 
Nr59  Frec: 41 Word: tout 
Nr60  Frec: 41 Word: au 
Nr61  Frec: 41 Word: robots 
Nr62  Frec: 40 Word: faut 
Nr63  Frec: 40 Word: : 
Nr64  Frec: 39 Word: avez 
Nr65  Frec: 38 Word: son 
Nr66  Frec: 36 Word: mais 
Nr67  Frec: 36 Word: dit 
Nr68  Frec: 35 Word: choses 
Nr69  Frec: 33 Word: fait 
Nr70  Frec: 33 Word: aux 
Nr71  Frec: 32 Word: quâ€™on 
Nr72  Frec: 32 Word: va 
Nr73  Frec: 32 Word: pays 
Nr74  Frec: 31 Word: apprendre 
Nr75  Frec: 31 Word: nâ€™est 
Nr76  Frec: 30 Word: beaucoup 
Nr77  Frec: 30 Word: chose 
Nr78  Frec: 28 Word: personne 
Nr79  Frec: 28 Word: quelque 
Nr80  Frec: 28 Word: bien 
Nr81  Frec: 28 Word: notre 
Nr82  Frec: 27 Word: pense 
Nr83  Frec: 25 Word: plusieurs 
Nr84  Frec: 25 Word: peuvent 
Nr85  Frec: 25 Word: deux 
Nr86  Frec: 25 Word: vos 
Nr87  Frec: 24 Word: pourquoi 
Nr88  Frec: 23 Word: vais 
Nr89  Frec: 23 Word: donc 
Nr90  Frec: 23 Word: pouvez 
Nr91  Frec: 23 Word: bonheur 
Nr92  Frec: 22 Word: entre 
Nr93  Frec: 22 Word: elle 
Nr94  Frec: 22 Word: apprend 
Nr95  Frec: 22 Word: essayer 
Nr96  Frec: 22 Word: quâ€™ils 
Nr97  Frec: 22 Word: hommes 
Nr98  Frec: 21 Word: suis 
Nr99  Frec: 21 Word: aider 
Nr100  Frec: 21 Word: mon 
Nr101  Frec: 21 Word: langues 
Nr102  Frec: 21 Word: alors 
Nr103  Frec: 20 Word: podcast, 
Nr104  Frec: 20 Word: enfants 
Nr105  Frec: 20 Word: leurs 
Nr106  Frec: 20 Word: femmes 
Nr107  Frec: 19 Word: elles 
Nr108  Frec: 19 Word: podcast 
Nr109  Frec: 19 Word: bien, 
Nr110  Frec: 19 Word: dâ€™une 
Nr111  Frec: 19 Word: bonne 
Nr112  Frec: 19 Word: dâ€™autres 
Nr113  Frec: 19 Word: confiance 
Nr114  Frec: 18 Word: podcast. 
Nr115  Frec: 18 Word: toutes 
Nr116  Frec: 18 Word: professeur 
Nr117  Frec: 18 Word: allez 
Nr118  Frec: 18 Word: utiliser 
Nr119  Frec: 18 Word: cerveau 
Nr120  Frec: 18 Word: robot 
Nr121  Frec: 17 Word: gens 
Nr122  Frec: 17 Word: autres 
Nr123  Frec: 17 Word: ses 
Nr124  Frec: 17 Word: langue. 
Nr125  Frec: 17 Word: langue, 
Nr126  Frec: 17 Word: vous, 
Nr127  Frec: 17 Word: signifie 
Nr128  Frec: 16 Word: comment 
Nr129  Frec: 16 Word: que, 
Nr130  Frec: 16 Word: sa 
Nr131  Frec: 16 Word: vie 
Nr132  Frec: 16 Word: parents 
Nr133  Frec: 15 Word: parlent 
Nr134  Frec: 15 Word: seulement 
Nr135  Frec: 15 Word: existe 
Nr136  Frec: 15 Word: souvent 
Nr137  Frec: 15 Word: devient 
Nr138  Frec: 15 Word: genre 
Nr139  Frec: 14 Word: simplement 
Nr140  Frec: 14 Word: exemple 
Nr141  Frec: 14 Word: quâ€™elles 
Nr142  Frec: 14 Word: trouver 
Nr143  Frec: 14 Word: jâ€™ai 
Nr144  Frec: 14 Word: sans 
Nr145  Frec: 14 Word: , 
Nr146  Frec: 14 Word: nouveau 
Nr147  Frec: 14 Word: assez 
Nr148  Frec: 13 Word: pouvoir 
