Nr1  Frec: 22 Word: i 
Nr2  Frec: 16 Word: på 
Nr3  Frec: 15 Word: en 
Nr4  Frec: 15 Word: så 
Nr5  Frec: 14 Word: för 
Nr6  Frec: 14 Word: sig 
Nr7  Frec: 14 Word: in 
Nr9  Frec: 13 Word: om 
Nr10  Frec: 12 Word: andra 
Nr11  Frec: 11 Word: med 
Nr12  Frec: 11 Word: till 
Nr13  Frec: 11 Word: den 
Nr14  Frec: 11 Word: ut 
Nr15  Frec: 10 Word: och 
Nr16  Frec: 10 Word: som 
Nr17  Frec: 10 Word: ett 
Nr18  Frec: 10 Word: här 
Nr19  Frec: 10 Word: sedan 
Nr20  Frec: 10 Word: allt 
Nr23  Frec: 9 Word: av 
Nr24  Frec: 9 Word: där 
Nr25  Frec: 9 Word: alla 
Nr26  Frec: 9 Word: mycket 
Nr27  Frec: 9 Word: över 
Nr28  Frec: 9 Word: fram 
Nr29  Frec: 9 Word: mig 
Nr30  Frec: 8 Word: de 
Nr31  Frec: 8 Word: då 
Nr32  Frec: 8 Word: upp 
Nr33  Frec: 8 Word: vad 
Nr35  Frec: 7 Word: att 
Nr36  Frec: 7 Word: man 
Nr37  Frec: 7 Word: år 
Nr38  Frec: 7 Word: nu 
Nr39  Frec: 7 Word: sin 
Nr40  Frec: 7 Word: även 
Nr42  Frec: 7 Word: mer 
Nr44  Frec: 7 Word: utan 
Nr45  Frec: 7 Word: något 
Nr46  Frec: 7 Word: svenska 
Nr47  Frec: 7 Word: första 
Nr48  Frec: 7 Word: någon 
Nr50  Frec: 7 Word: bland 
Nr51  Frec: 7 Word: bra 
Nr52  Frec: 7 Word: del 
Nr53  Frec: 7 Word: hela 
Nr54  Frec: 7 Word: ingen 
Nr56  Frec: 7 Word: just 
Nr57  Frec: 7 Word: väl 
Nr58  Frec: 7 Word: bättre 
Nr59  Frec: 7 Word: annan 
Nr62  Frec: 7 Word: tillbaka 
Nr64  Frec: 7 Word: mål 
Nr65  Frec: 7 Word: hem 
Nr66  Frec: 7 Word: gången 
Nr67  Frec: 6 Word: var 
Nr68  Frec: 6 Word: går 
Nr69  Frec: 6 Word: detta 
Nr70  Frec: 6 Word: dag 
Nr71  Frec: 6 Word: ju 
Nr72  Frec: 6 Word: fall 
Nr75  Frec: 6 Word: igen 
Nr76  Frec: 6 Word: runt 
Nr77  Frec: 6 Word: problem 
Nr78  Frec: 6 Word: väg 
Nr79  Frec: 6 Word: jobb 
Nr82  Frec: 6 Word: extra 
Nr83  Frec: 5 Word: vara 
Nr85  Frec: 5 Word: ta 
Nr89  Frec: 5 Word: flera 
Nr90  Frec: 5 Word: åt 
Nr92  Frec: 5 Word: kvar 
Nr93  Frec: 5 Word: ner 
Nr96  Frec: 5 Word: länge 
Nr97  Frec: 5 Word: lätt 
Nr98  Frec: 5 Word: såg 
Nr99  Frec: 5 Word: hemma 
Nr100  Frec: 5 Word: kväll 
Nr105  Frec: 4 Word: inte 
Nr106  Frec: 4 Word: han 
Nr107  Frec: 4 Word: men 
Nr108  Frec: 4 Word: jag 
Nr109  Frec: 4 Word: från 
Nr110  Frec: 4 Word: vi 
Nr112  Frec: 4 Word: när 
Nr114  Frec: 4 Word: hon 
Nr115  Frec: 4 Word: under 
Nr116  Frec: 4 Word: också 
Nr117  Frec: 4 Word: efter 
Nr118  Frec: 4 Word: eller 
Nr119  Frec: 4 Word: vid 
Nr120  Frec: 4 Word: mot 
Nr121  Frec: 4 Word: ska 
Nr122  Frec: 4 Word: skulle 
Nr124  Frec: 4 Word: får 
Nr127  Frec: 4 Word: än 
Nr128  Frec: 4 Word: bara 
Nr130  Frec: 4 Word: få 
Nr131  Frec: 4 Word: två 
Nr132  Frec: 4 Word: vill 
Nr133  Frec: 4 Word: ha 
Nr134  Frec: 4 Word: hur 
Nr136  Frec: 4 Word: procent 
Nr138  Frec: 4 Word: sina 
Nr140  Frec: 4 Word: måste 
Nr141  Frec: 4 Word: mellan 
Nr143  Frec: 4 Word: bli 
Nr147  Frec: 4 Word: tre 
Nr148  Frec: 4 Word: genom 
Nr149  Frec: 4 Word: göra 
Nr150  Frec: 4 Word: enligt 
Nr151  Frec: 4 Word: redan 
Nr152  Frec: 4 Word: inom 
Nr153  Frec: 4 Word: du 
Nr154  Frec: 4 Word: samma 
Nr155  Frec: 4 Word: kanske 
Nr156  Frec: 4 Word: själv 
Nr158  Frec: 4 Word: se 
Nr160  Frec: 4 Word: dock 
Nr162  Frec: 4 Word: både 
Nr163  Frec: 4 Word: tid 
Nr164  Frec: 4 Word: kunna 
Nr166  Frec: 4 Word: stor 
Nr167  Frec: 4 Word: olika 
Nr168  Frec: 4 Word: plats 
Nr170  Frec: 4 Word: gå 
Nr171  Frec: 4 Word: ur 
Nr174  Frec: 4 Word: aldrig 
Nr175  Frec: 4 Word: barn 
Nr176  Frec: 4 Word: varje 
Nr177  Frec: 4 Word: lite 
Nr178  Frec: 4 Word: sätt 
Nr180  Frec: 4 Word: mest 
Nr181  Frec: 4 Word: per 
Nr183  Frec: 4 Word: fem 
Nr185  Frec: 4 Word: rätt 
Nr186  Frec: 4 Word: gång 
Nr187  Frec: 4 Word: därför 
Nr188  Frec: 4 Word: fyra 
Nr189  Frec: 4 Word: ny 
Nr191  Frec: 4 Word: hos 
Nr192  Frec: 4 Word: dessutom 
Nr194  Frec: 4 Word: lika 
Nr195  Frec: 4 Word: eftersom 
Nr197  Frec: 4 Word: trots 
Nr201  Frec: 4 Word: vet 
Nr203  Frec: 4 Word: ändå 
Nr204  Frec: 4 Word: inför 
Nr206  Frec: 4 Word: samtidigt 
Nr207  Frec: 4 Word: ännu 
Nr209  Frec: 4 Word: exempel 
Nr211  Frec: 4 Word: min 
Nr213  Frec: 4 Word: sista 
Nr214  Frec: 4 Word: komma 
Nr219  Frec: 4 Word: nästa 
Nr220  Frec: 4 Word: ge 
Nr222  Frec: 4 Word: innan 
Nr223  Frec: 4 Word: alltid 
Nr225  Frec: 4 Word: först 
Nr226  Frec: 4 Word: stället 
Nr227  Frec: 4 Word: vår 
Nr228  Frec: 4 Word: före 
Nr229  Frec: 4 Word: nog 
Nr230  Frec: 4 Word: samt 
Nr231  Frec: 4 Word: ofta 
Nr233  Frec: 4 Word: säga 
Nr234  Frec: 4 Word: egen 
Nr235  Frec: 4 Word: tillsammans 
Nr236  Frec: 4 Word: nästan 
Nr237  Frec: 4 Word: förra 
Nr244  Frec: 4 Word: enda 
Nr245  Frec: 4 Word: liv 
Nr246  Frec: 4 Word: fortfarande 
Nr247  Frec: 4 Word: medan 
Nr248  Frec: 4 Word: bakom 
Nr250  Frec: 4 Word: minst 
Nr252  Frec: 4 Word: början 
Nr253  Frec: 4 Word: alltså 
Nr254  Frec: 4 Word: bort 
Nr255  Frec: 4 Word: varför 
Nr257  Frec: 4 Word: mitt 
Nr262  Frec: 4 Word: utanför 
Nr264  Frec: 4 Word: långt 
Nr265  Frec: 4 Word: framför 
Nr266  Frec: 4 Word: båda 
Nr268  Frec: 4 Word: par 
Nr269  Frec: 4 Word: nej 
Nr272  Frec: 4 Word: direkt 
Nr273  Frec: 4 Word: folk 
Nr276  Frec: 4 Word: sex 
Nr279  Frec: 4 Word: vidare 
Nr284  Frec: 4 Word: flesta 
Nr285  Frec: 4 Word: särskilt 
Nr286  Frec: 4 Word: cirka 
Nr287  Frec: 4 Word: heller 
Nr292  Frec: 4 Word: kring 
Nr293  Frec: 4 Word: liten 
Nr294  Frec: 4 Word: egentligen 
Nr297  Frec: 4 Word: hjälp 
Nr300  Frec: 4 Word: små 
Nr304  Frec: 4 Word: hålla 
Nr305  Frec: 4 Word: emot 
Nr309  Frec: 4 Word: sådan 
Nr310  Frec: 4 Word: vilken 
Nr314  Frec: 4 Word: varandra 
Nr315  Frec: 4 Word: ganska 
Nr317  Frec: 4 Word: vem 
Nr318  Frec: 4 Word: lång 
Nr319  Frec: 4 Word: all 
Nr323  Frec: 4 Word: grund 
Nr324  Frec: 4 Word: snart 
Nr326  Frec: 4 Word: låg 
Nr328  Frec: 4 Word: verkligen 
Nr329  Frec: 4 Word: precis 
Nr331  Frec: 4 Word: stöd 
Nr332  Frec: 4 Word: hög 
Nr333  Frec: 4 Word: faktiskt 
Nr334  Frec: 4 Word: land 
Nr335  Frec: 4 Word: gott 
Nr336  Frec: 4 Word: gärna 
Nr339  Frec: 4 Word: lag 
Nr342  Frec: 4 Word: stod 
Nr344  Frec: 4 Word: hoppas 
Nr346  Frec: 4 Word: visa 
Nr348  Frec: 4 Word: antal 
Nr350  Frec: 4 Word: ute 
Nr353  Frec: 4 Word: stå 
Nr355  Frec: 4 Word: via 
Nr358  Frec: 4 Word: ungefär 
Nr360  Frec: 4 Word: bor 
Nr365  Frec: 4 Word: alls 
Nr366  Frec: 4 Word: köpa 
Nr367  Frec: 4 Word: sida 
Nr369  Frec: 4 Word: hitta 
Nr371  Frec: 4 Word: vecka 
Nr372  Frec: 4 Word: veta 
Nr375  Frec: 4 Word: person 
Nr376  Frec: 4 Word: använda 
Nr379  Frec: 4 Word: morgon 
Nr380  Frec: 4 Word: ena 
Nr381  Frec: 4 Word: mars 
Nr382  Frec: 4 Word: börja 
Nr383  Frec: 4 Word: president 
Nr384  Frec: 4 Word: försöka 
Nr385  Frec: 4 Word: lämna 
Nr386  Frec: 4 Word: bild 
Nr387  Frec: 4 Word: januari 
Nr388  Frec: 4 Word: fortsätta 
Nr390  Frec: 4 Word: vatten 
Nr391  Frec: 4 Word: saker 
Nr392  Frec: 4 Word: inne 
Nr393  Frec: 4 Word: information 
Nr394  Frec: 4 Word: december 
Nr395  Frec: 4 Word: bil 
Nr397  Frec: 4 Word: klar 
Nr398  Frec: 4 Word: dom 
Nr401  Frec: 4 Word: familj 
Nr404  Frec: 4 Word: mat 
Nr405  Frec: 4 Word: månad 
Nr406  Frec: 4 Word: åka 
Nr415  Frec: 3 Word: a 
Nr419  Frec: 3 Word: svensk 
Nr423  Frec: 3 Word: företag 
Nr424  Frec: 3 Word: dess 
Nr425  Frec: 3 Word: tio 
Nr429  Frec: 3 Word: ytterligare 
Nr430  Frec: 3 Word: därmed 
Nr432  Frec: 3 Word: däremot 
Nr433  Frec: 3 Word: beslut 
Nr434  Frec: 3 Word: ordförande 
Nr435  Frec: 3 Word: tredje 
Nr436  Frec: 3 Word: arbete 
Nr437  Frec: 3 Word: slut 
Nr438  Frec: 3 Word: ibland 
Nr439  Frec: 3 Word: fråga 
Nr442  Frec: 3 Word: nära 
Nr444  Frec: 3 Word: namn 
Nr445  Frec: 3 Word: helst 
Nr446  Frec: 3 Word: förslag 
Nr448  Frec: 3 Word: års 
Nr449  Frec: 3 Word: spela 
Nr450  Frec: 3 Word: säkert 
Nr451  Frec: 3 Word: ens 
Nr452  Frec: 3 Word: meter 
Nr453  Frec: 3 Word: hus 
Nr454  Frec: 3 Word: form 
Nr458  Frec: 3 Word: film 
Nr460  Frec: 3 Word: god 
Nr461  Frec: 3 Word: betala 
Nr462  Frec: 3 Word: krav 
Nr463  Frec: 3 Word: hittills 
Nr465  Frec: 3 Word: sju 
Nr467  Frec: 3 Word: bok 
Nr468  Frec: 3 Word: endast 
Nr469  Frec: 3 Word: annars 
Nr475  Frec: 3 Word: åtta 
Nr476  Frec: 3 Word: satt 
Nr477  Frec: 3 Word: bäst 
Nr479  Frec: 3 Word: spelare 
Nr480  Frec: 3 Word: främst 
Nr481  Frec: 3 Word: förstås 
Nr483  Frec: 3 Word: poäng 
Nr485  Frec: 3 Word: skapa 
Nr486  Frec: 3 Word: tänka 
Nr487  Frec: 3 Word: vd 
Nr491  Frec: 3 Word: mina 
Nr494  Frec: 3 Word: skrev 
Nr496  Frec: 3 Word: grupp 
Nr497  Frec: 3 Word: lever 
Nr498  Frec: 3 Word: betydligt 
Nr499  Frec: 3 Word: gammal 
Nr502  Frec: 3 Word: chef 
Nr503  Frec: 3 Word: alldeles 
Nr505  Frec: 3 Word: stark 
Nr508  Frec: 3 Word: kvinna 
Nr510  Frec: 3 Word: låta 
Nr511  Frec: 3 Word: ansvar 
Nr512  Frec: 3 Word: sen 
Nr513  Frec: 3 Word: politiker 
Nr516  Frec: 3 Word: plötsligt 
Nr517  Frec: 3 Word: möjlighet 
Nr518  Frec: 3 Word: samband 
Nr519  Frec: 3 Word: öka 
Nr520  Frec: 3 Word: bygga 
Nr526  Frec: 3 Word: exempelvis 
Nr527  Frec: 3 Word: dit 
Nr529  Frec: 3 Word: verksamhet 
Nr530  Frec: 3 Word: samarbete 
Nr531  Frec: 3 Word: närmare 
Nr532  Frec: 3 Word: september 
Nr534  Frec: 3 Word: sak 
Nr535  Frec: 3 Word: boken 
Nr536  Frec: 3 Word: juni 
Nr537  Frec: 3 Word: ingenting 
Nr539  Frec: 3 Word: tur 
Nr540  Frec: 3 Word: maj 
Nr542  Frec: 3 Word: utbildning 
Nr543  Frec: 3 Word: arbeta 
Nr544  Frec: 3 Word: vinna 
Nr549  Frec: 3 Word: hel 
Nr550  Frec: 3 Word: skriva 
Nr551  Frec: 3 Word: match 
Nr553  Frec: 3 Word: finnas 
Nr556  Frec: 3 Word: knappt 
Nr558  Frec: 3 Word: viktig 
Nr559  Frec: 3 Word: kritik 
Nr560  Frec: 3 Word: kommun 
Nr561  Frec: 3 Word: allra 
Nr562  Frec: 3 Word: mamma 
Nr563  Frec: 3 Word: stad 
Nr566  Frec: 3 Word: välja 
Nr567  Frec: 3 Word: läsa 
Nr568  Frec: 3 Word: nio 
Nr570  Frec: 3 Word: dags 
Nr571  Frec: 3 Word: fjol 
Nr572  Frec: 3 Word: uppdrag 
Nr573  Frec: 3 Word: tills 
Nr574  Frec: 3 Word: augusti 
Nr575  Frec: 3 Word: kör 
Nr576  Frec: 3 Word: liknande 
Nr577  Frec: 3 Word: seger 
Nr578  Frec: 3 Word: brott 
Nr580  Frec: 3 Word: and 
